timestamp,amount,price,symbol,slippage_pct
2018-02-01 14:17:00+05:30,2.0,4744.4,BRITANNIA,0.00025299375948722763
2018-02-02 10:16:00+05:30,-2.0,4681.65,BRITANNIA,7.475437847081671e-05
2018-02-02 10:18:00+05:30,-4554.0,200.39759552042162,ADANIENT,0.009893302764715355
2018-02-02 12:13:00+05:30,-902.0,1013.2268292682929,TATAELXSI,-0.0001745513728769329
2018-02-02 12:16:00+05:30,-1.0,1010.65,TATAELXSI,0.0015806371943690024
2018-02-02 13:16:00+05:30,4.0,1016.25,TATAELXSI,0.001527545087217852
2018-02-02 13:42:00+05:30,-4492.0,201.82656945681217,ADANIENT,0.006514548575869258
2018-02-02 14:16:00+05:30,-211.0,200.05,ADANIENT,-0.005276381909547796
2018-02-02 14:20:00+05:30,-34.0,1004.0220588235294,TATAELXSI,-0.001718107177022286
2018-02-05 09:16:00+05:30,-153.0,185.65,ADANIENT,0.05617691916624293
2018-02-05 09:16:00+05:30,-28.0,958.8,TATAELXSI,0.034538314369147186
2018-02-05 10:16:00+05:30,-259.0,192.45,ADANIENT,0.002591344908007256
2018-02-05 10:16:00+05:30,-50.0,972.45,TATAELXSI,0.003279864705580825
2018-02-05 11:16:00+05:30,25.0,193.25,ADANIENT,0.001036001036000977
2018-02-05 11:16:00+05:30,8.0,980.8,TATAELXSI,0.001685135066128762
2018-02-05 12:17:00+05:30,224.0,197.15714285714284,ADANIENT,-0.0002173283106346069
2018-02-05 12:17:00+05:30,26.0,982.2673076923076,TATAELXSI,0.0006798163124567353
2018-02-05 12:56:00+05:30,-207.0,4629.532125603864,BRITANNIA,-0.0009041749497581424
2018-02-05 13:16:00+05:30,39.0,197.15,ADANIENT,-0.0022773279352226146
2018-02-05 13:16:00+05:30,9.0,983.5499999999998,TATAELXSI,-0.0018267620642413171
2018-02-05 13:16:00+05:30,1.0,4628.5,BRITANNIA,-0.00036715476653272387
2018-02-05 14:16:00+05:30,-91.0,196.54999999999998,ADANIENT,-0.0015286624203820786
2018-02-05 14:17:00+05:30,-13.0,984.2192307692308,TATAELXSI,-0.001036646429241982
2018-02-05 14:17:00+05:30,-3.0,4616.466666666666,BRITANNIA,-3.6102777386138993e-06
2018-02-06 09:16:00+05:30,357.0,185.55,ADANIENT,-0.07594621513944223
2018-02-06 09:16:00+05:30,77.0,967.3499999999999,TATAELXSI,-0.04506416584402773
2018-02-06 09:16:00+05:30,11.0,4485.0,BRITANNIA,-0.027114967462039046
2018-02-06 10:18:00+05:30,-1124.0,188.60338078291815,ADANIENT,0.002098514376094438
2018-02-06 10:19:00+05:30,-230.0,941.5578260869567,TATAELXSI,0.005799243876293018
2018-02-06 10:20:00+05:30,-45.0,4407.79,BRITANNIA,0.0022093694468653933
2018-02-06 11:16:00+05:30,26.0,949.7,TATAELXSI,-0.0001579196715270593
2018-02-06 11:17:00+05:30,169.0,190.4316568047337,ADANIENT,-0.0021919999751966917
2018-02-06 11:18:00+05:30,7.0,4436.585714285714,BRITANNIA,-0.0016571486435009103
2018-02-06 12:16:00+05:30,7.0,950.95,TATAELXSI,0.0001051690592627888
2018-02-06 12:16:00+05:30,1.0,4455.0,BRITANNIA,0.0
2018-02-06 12:17:00+05:30,39.0,191.09615384615384,ADANIENT,-0.0005431284196974322
2018-02-06 13:17:00+05:30,123.0,192.3378048780488,ADANIENT,-0.0003232594696009344
2018-02-06 13:18:00+05:30,26.0,957.6423076923077,TATAELXSI,0.00014862422173124576
2018-02-06 13:19:00+05:30,5.0,4473.87,BRITANNIA,0.0008097981097253825
2018-02-06 14:17:00+05:30,15.0,4547.97,BRITANNIA,-0.0004461538461537902
2018-02-06 14:18:00+05:30,340.0,195.56264705882353,ADANIENT,0.0005763471927528301
2018-02-06 14:20:00+05:30,68.0,972.0602941176471,TATAELXSI,-0.0009144415256209751
2018-02-07 09:16:00+05:30,-117.0,200.6,ADANIENT,-0.03109740426625537
2018-02-07 09:16:00+05:30,-27.0,992.0,TATAELXSI,-0.027926014196155688
2018-02-07 09:16:00+05:30,-5.0,4584.75,BRITANNIA,-0.014112078213649827
