date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2018-02-27 00:00:00+05:30,929926.9000,10256.2500,919670.6500,882742.6200,1000000.0000,0.0000,36928.0300,-107001.1300,-70073.1000,929926.9000,0.0000,0.0000,-14562.6000,2.9100,0.9900,2702534.6500,919670.6500,1811102.6500,891432.0000,2,1,-0.0154,-0.0701,0.4149,-0.1752,,,1011368.3746,-0.0024,,
2018-02-28 00:00:00+05:30,961823.8500,1199.1500,960624.7000,892145.0000,1000000.0000,0.0000,68479.7000,-106655.8500,-38176.1500,961823.8500,0.0000,0.0000,31896.9500,2.8200,1.0000,2714544.7000,960624.7000,1837584.7000,876960.0000,2,1,0.0343,-0.0382,0.4185,-0.1469,,,1005319.9392,-0.0060,,
2018-03-01 00:00:00+05:30,956781.3000,19869.3000,936912.0000,895054.4800,1000000.0000,0.0000,41857.5200,-85076.2200,-43218.7000,956781.3000,0.0000,0.0000,-5042.5500,0.9800,0.9800,936912.0000,936912.0000,936912.0000,0.0000,1,0,-0.0052,-0.0432,0.4137,-0.1514,,,1001677.4583,-0.0036,,
2018-03-05 00:00:00+05:30,940306.9500,940306.9500,0.0000,0.0000,1000000.0000,0.0000,0.0000,-59693.0500,-59693.0500,940306.9500,0.0000,0.0000,-16474.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0172,-0.0597,0.4110,-0.1660,,,992796.5147,-0.0089,,
2018-03-06 00:00:00+05:30,1007005.2500,1863445.2500,-856440.0000,-923138.3000,1000000.0000,0.0000,66698.3000,-59693.0500,7005.2500,1007005.2500,0.0000,0.0000,66698.3000,0.8500,-0.8500,856440.0000,-856440.0000,0.0000,856440.0000,0,1,0.0709,0.0070,0.4403,-0.1068,,,979980.7332,-0.0129,,
2018-03-07 00:00:00+05:30,1052978.9000,2001923.7500,-948944.8500,-1061169.7400,1000000.0000,0.0000,112224.8900,-59245.9900,52978.9000,1052978.9000,0.0000,0.0000,45973.6500,2.7700,-0.9000,2915475.4500,-948944.8500,983265.3000,1932210.1500,1,2,0.0457,0.0530,0.4486,-0.0660,,,974224.6548,-0.0059,,
2018-03-08 00:00:00+05:30,1081419.0000,2957248.0000,-1875829.0000,-2023624.3900,1000000.0000,0.0000,147795.3900,-66376.3900,81419.0000,1081419.0000,0.0000,0.0000,28440.1000,1.7300,-1.7300,1875829.0000,-1875829.0000,0.0000,1875829.0000,0,2,0.0270,0.0814,0.4482,-0.0408,,,981202.8814,0.0072,,
2018-03-09 00:00:00+05:30,1156256.3500,1119632.3500,36624.0000,-176365.7800,1000000.0000,0.0000,212989.7800,-56733.4300,156256.3500,1156256.3500,0.0000,0.0000,74837.3500,1.8500,0.0300,2141376.0000,36624.0000,1089000.0000,1052376.0000,1,1,0.0692,0.1563,0.4715,0.0000,,,980575.0327,-0.0006,,
2018-03-12 00:00:00+05:30,1100578.7500,1178813.7500,-78235.0000,-222049.2500,1000000.0000,0.0000,143814.2500,-43235.5000,100578.7500,1100578.7500,0.0000,0.0000,-55677.6000,2.1500,-0.0700,2368379.0000,-78235.0000,1145072.0000,1223307.0000,1,1,-0.0482,0.1006,0.4795,-0.0482,,,999146.8926,0.0189,,
2018-03-13 00:00:00+05:30,1126372.3000,1140816.8500,-14444.5500,-164249.9400,1000000.0000,0.0000,149805.3900,-23433.0900,126372.3000,1126372.3000,0.0000,0.0000,25793.5500,1.9900,-0.0100,2235859.0500,-14444.5500,1110707.2500,1125151.8000,1,1,0.0234,0.1264,0.4775,-0.0258,,,999305.0530,0.0002,,
