Blueshift Alert(57350)[2021-06-18 15:29:00+05:30](WARNING): order ff66a02ea5f84daabb0122e09e12a181 for 832.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-18 15:29:00+05:30](WARNING): order f81762a130434b8e8b76918c960a5f14 for 81.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-18 15:29:00+05:30](WARNING): order 32ae1dae65044df789f34eae96cabfce for 93.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-18 15:29:00+05:30](WARNING): order 92641edf80e342419872dcb77254e12b for 20.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-21 15:29:00+05:30](WARNING): order b796c532d9cd4e2996e6e3302c1b9893 for 1790.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-22 15:29:00+05:30](WARNING): order de4bdaa0daad4f0b91c45cfdadad161d for 65.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-22 15:29:00+05:30](WARNING): order 3d7b881ae6ca4572ac0af87c5873263a for 2060.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-25 15:29:00+05:30](WARNING): order 98285716e31d44bd9581690673fa34cd for 954.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-25 15:29:00+05:30](WARNING): order 5af58c066780490cba7848bcf189497d for 1545.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-25 15:29:00+05:30](WARNING): order 629e8f0a37c0493496bdda07a5ea04aa for 7.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-29 15:29:00+05:30](WARNING): order 2a5a4b19054340fbae325af3c7b4b381 for 616.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-06-29 15:29:00+05:30](WARNING): order 725cfa502520421bb4c42ff9093c1133 for 46.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-01 15:29:00+05:30](WARNING): order 63e6e0cd5091449d9b52cdbab25e78d8 for 118.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-05 15:29:00+05:30](WARNING): order e2df91530d514fb0bf75c73e9ba3b033 for 622.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-08 15:29:00+05:30](WARNING): order 4f451709a1fe42e9aaabd98fb1ef1513 for 1468.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-08 15:29:00+05:30](WARNING): order ba56f20fcfb7456a805cf0a9bd7f681f for 4.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-08 15:29:00+05:30](WARNING): order 223feadb19404c4cb5c60d17bbadc4b5 for 9.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-09 15:29:00+05:30](WARNING): order b9c966cf418d4d2cac9520123b200895 for 581.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-20 15:29:00+05:30](WARNING): order e8b1b56244cb4791a855822772b330c9 for 776.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-20 15:29:00+05:30](WARNING): order 38a3456744624949b0418393d8bc089d for 31.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-20 15:29:00+05:30](WARNING): order 1481ffc332934fd3b92cec676c7bd9df for 53.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-20 15:29:00+05:30](WARNING): order b1ff11d3f69344628bf1aa02433c86db for 24.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-22 15:29:00+05:30](WARNING): order 9b882b9326b04948a9371621e9396a82 for 1459.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-23 15:29:00+05:30](WARNING): order 57f9cf5f722147f3a427607026f9268d for 639.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-27 15:29:00+05:30](WARNING): order 8a1668ba3cd64949afe7629323979d2b for 1597.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-29 15:29:00+05:30](WARNING): order f47c3d27aa2c45fbaf99e63fa9e93865 for 1237.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-29 15:29:00+05:30](WARNING): order 419208f31fb14f2aaeab5495bf9f073e for 4.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-30 15:29:00+05:30](WARNING): order a241ac899626465199d8442a4e7b08c8 for 988.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-07-30 15:29:00+05:30](WARNING): order d6465176a268442d9c56a685c90ceb93 for 472.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-08-11 15:29:00+05:30](WARNING): order 44862e48c84e438099f206f5e0e04dfe for 1014.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-08-11 15:29:00+05:30](WARNING): order a9b0086a77e143adb2bbe429f0d32ed7 for 8.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-08-11 15:29:00+05:30](WARNING): order c8884330ec304590b9c51495d420c66c for 3.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-08-11 15:29:00+05:30](WARNING): order 06c8a144753b4461af288b2d5695c5f4 for 3.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-08-12 15:29:00+05:30](WARNING): order 80bbb5be9fae4acdb264de9966ab1331 for 1383.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-08-16 15:29:00+05:30](WARNING): order 9af04faa864640138eef08b22bf5d9a1 for 688.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-08-26 15:29:00+05:30](WARNING): order 34c8b6909aa94a80b76109fdd6495631 for 1628.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-08-30 15:29:00+05:30](WARNING): order bf9bbb620b624fa288080cf6b3870ccc for 47.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-06 15:29:00+05:30](WARNING): order c39beb8fae1a4b9ba1cb9e8b279994b9 for 169.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-07 15:29:00+05:30](WARNING): order 2c6b303075c0471484e41422cffdb6dd for 1543.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-07 15:29:00+05:30](WARNING): order 707f07909e4b4b3d847db7e556098a5b for 1310.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
