date,ADANIENT,TATAELXSI,BRITANNIA
2018-11-12 15:35:00+05:30,-7649.0,-1243.0,218.0
2018-11-13 15:35:00+05:30,-7580.0,,
2018-11-14 15:35:00+05:30,-7864.0,-1263.0,
2018-11-15 15:35:00+05:30,,,
2018-11-16 15:35:00+05:30,-7540.0,-1250.0,202.0
2018-11-19 15:35:00+05:30,-7251.0,,195.0
2018-11-20 15:35:00+05:30,-7487.0,,
2018-11-21 15:35:00+05:30,-7260.0,,195.0
2018-11-22 15:35:00+05:30,-7473.0,,197.0
2018-11-26 15:35:00+05:30,-7656.0,,200.0
2018-11-27 15:35:00+05:30,-7463.0,,197.0
2018-11-28 15:35:00+05:30,-7597.0,1176.0,396.0
2018-11-29 15:35:00+05:30,6708.0,,-376.0
2018-11-30 15:35:00+05:30,6604.0,1077.0,-358.0
2018-12-03 15:35:00+05:30,6644.0,1070.0,-358.0
2018-12-04 15:35:00+05:30,,1046.0,-353.0
2018-12-05 15:35:00+05:30,,1041.0,-352.0
2018-12-06 15:35:00+05:30,-7235.0,,-366.0
2018-12-07 15:35:00+05:30,,,-364.0
2018-12-10 15:35:00+05:30,-7858.0,-1145.0,-376.0
2018-12-11 15:35:00+05:30,,,-357.0
2018-12-12 15:35:00+05:30,,,-347.0
2018-12-13 15:35:00+05:30,,,
2018-12-14 15:35:00+05:30,,,
2018-12-17 15:35:00+05:30,,,
2018-12-18 15:35:00+05:30,6408.0,-1001.0,
2018-12-19 15:35:00+05:30,6491.0,-1038.0,
2018-12-20 15:35:00+05:30,6437.0,,
2018-12-21 15:35:00+05:30,,-1001.0,-320.0
2018-12-24 15:35:00+05:30,,-1011.0,-323.0
2018-12-26 15:35:00+05:30,-6410.0,-1035.0,-330.0
2018-12-27 15:35:00+05:30,5709.0,,
2018-12-28 15:35:00+05:30,5737.0,,
2018-12-31 15:35:00+05:30,5739.0,18.0,
2019-01-01 15:35:00+05:30,,870.0,
2019-01-02 15:35:00+05:30,,871.0,
2019-01-03 15:35:00+05:30,,870.0,5.0
2019-01-04 15:35:00+05:30,-5719.0,,277.0
2019-01-07 15:35:00+05:30,,-871.0,275.0
2019-01-08 15:35:00+05:30,,-907.0,
2019-01-09 15:35:00+05:30,-5803.0,,
2019-01-10 15:35:00+05:30,,,
2019-01-11 15:35:00+05:30,-5774.0,-909.0,
2019-01-14 15:35:00+05:30,-5912.0,-910.0,
2019-01-15 15:35:00+05:30,-5785.0,,
2019-01-16 15:35:00+05:30,,,-268.0
2019-01-17 15:35:00+05:30,,,
2019-01-18 15:35:00+05:30,-5772.0,,-268.0
2019-01-21 15:35:00+05:30,-5797.0,870.0,-268.0
2019-01-22 15:35:00+05:30,-5829.0,873.0,-267.0
2019-01-23 15:35:00+05:30,-5851.0,866.0,
2019-01-24 15:35:00+05:30,-5856.0,-885.0,
2019-01-25 15:35:00+05:30,-6182.0,-933.0,264.0
2019-01-28 15:35:00+05:30,-6534.0,-1010.0,
2019-01-29 15:35:00+05:30,,-978.0,-271.0
2019-01-30 15:35:00+05:30,-6176.0,-971.0,
2019-01-31 15:35:00+05:30,-6289.0,-991.0,
2019-02-01 15:35:00+05:30,,,254.0
2019-02-04 15:35:00+05:30,-6657.0,,255.0
2019-02-05 15:35:00+05:30,-7001.0,,
2019-02-06 15:35:00+05:30,-7036.0,939.0,
2019-02-07 15:35:00+05:30,,925.0,
2019-02-08 15:35:00+05:30,-6792.0,,-262.0
2019-02-11 15:35:00+05:30,-6970.0,,-267.0
2019-02-12 15:35:00+05:30,-7261.0,-964.0,-284.0
2019-02-13 15:35:00+05:30,,,-297.0
2019-02-14 15:35:00+05:30,,,-301.0
2019-02-15 15:35:00+05:30,7407.0,,-307.0
2019-02-18 15:35:00+05:30,,-1003.0,-294.0
2019-02-19 15:35:00+05:30,7223.0,-996.0,-294.0
2019-02-20 15:35:00+05:30,7080.0,,
